BL_color_ID,BL_name,ID,Name,RGB,Num Parts,Num Sets,First Year,Last Year,LEGO,LDraw,BrickLink,BrickOwl
59,'Dark Red',320,Dark Red,720E0F,50658,12959,2001,2026,"154 ['Dark red', 'NEW DARK RED']",320 ['Dark_Red'],59 ['Dark Red'],56 ['Dark Red']
,,1113,HO Dark Red,631314,10,10,1958,1964,,,,
26,'Light Salmon',100,Light Salmon,FEBABD,180,111,1997,2002,100 ['Light red'],100 ['Light_Salmon'],26 ['Light Salmon'],5 ['Light Salmon']
56,'Rose Pink',77,Light Pink,FECCCF,184,81,1991,1994,223 ['Light Pink'] 17 ['Rose'],77 ['Light_Pink'],56 ['Rose Pink'],68 ['Light Pink']
147,'Mx Violet',1037,Modulex Violet,BD7D85,7,7,1963,1963,,,147 ['Mx Violet'],153 ['Modulex Violet']
175,'Warm Pink',1146,Warm Pink,F6B7BF,422,70,2026,2026,430 ['Warm Pink'],430 ['Warm_Pink'],175 ['Warm Pink'],259 ['Warm Pink']
,,1087,Duplo Pink,FF879C,47,21,1992,1993,16 ['Pink'],,,
252,'Pearl Red',1069,Pearl Red,D60026,24,14,2003,2006,"184 ['Metallic Bright Red', 'MET. BR. RED']",184 ['Metallic_Bright_Red'],252 ['Pearl Red'],181 ['Pearl Red']
23,'Pink',13,Pink,FC97AC,482,249,1994,2005,9 ['L.REDVIOL'],13 ['Pink'],23 ['Pink'],3 ['Pink']
,,1102,Trans-Neon Red,FF0040,22,9,2001,2004,158 ['Transparent Fluorescent Red'],158 ['Trans_Neon_Red'],,
220,'Coral',1050,Coral,FF698F,7896,1880,2019,2026,"353 ['Coral', 'Vibrant Coral']",353 ['Coral'],220 ['Coral'],173 ['Coral']
94,'Medium Dark Pink',351,Medium Dark Pink,F785B1,1093,575,1994,2005,"22 ['Medium Reddish Violet', 'MD.REDVIOL']",351 ['Medium_Dark_Pink'],94 ['Medium Dark Pink'],75 ['Medium Dark Pink']
148,'Mx Pink',1038,Modulex Pink,F785B1,20,20,1963,1963,,,148 ['Mx Pink'],146 ['Modulex Pink']
100,'Glitter Trans-Dark Pink',114,Glitter Trans-Dark Pink,DF6695,234,50,1999,2024,"114 ['Tr. Medium Reddish-Violet w. Glitter 2%', 'TR.M.R.V.GLI']",114 ['Glitter_Trans_Dark_Pink'],100 ['Glitter Trans-Dark Pink'],132 ['Transparent Pink Glitter']
50,'Trans-Dark Pink',45,Trans-Dark Pink,DF6695,5779,1974,1999,2026,"113 ['Tr. Medi. reddish violet', 'TR.ML.R.VIOL']",37 ['Trans_Dark_Pink'],50 ['Trans-Dark Pink'],99 ['Transparent Dark Pink']
,,1082,Clikits Pink,FE78B0,32,10,2006,2006,295 ['Flamingo Pink'],295 ['Flamingo_Pink'],,
