ITEMTYPE,ITEMID,COLOR,CODENAME
P,14pb10,White,4109767
P,14pb11,White,4109770
P,44,Black,4221514
P,44,Black,4660886
P,44,Black,6322045
P,44,Black,6457112
P,44,Blue,6061202
P,44,Blue,6323908
P,44,Blue,6457113
P,44,Dark Azure,6535524
P,44,Dark Bluish Gray,6353304
P,44,Dark Bluish Gray,6457116
P,44,Dark Tan,6614517
P,44,Green,4119417
P,44,Light Bluish Gray,4211575
P,44,Light Gray,4112931
P,44,Red,4204710
P,44,Red,4614799
P,44,Red,6598914
P,44,White,6175556
P,44,White,6323918
P,44,White,6457115
P,44,Yellow,6469823
P,52,Chrome Green,4119098
P,52,Chrome Silver,4119342
P,52,Dark Green,6532423
P,52,Flat Silver,4633692
P,52,Glitter Trans-Light Blue,6093748
P,52,Metallic Gold,4519317
P,52,Metallic Gold,6051533
P,52,Metallic Silver,4519318
P,52,Metallic Silver,6051536
P,52,Pearl Gold,4516816
P,52,Pearl Gold,6174085
P,52,Sand Green,6454960
P,52,Satin Trans-Purple,6442192
P,52,Satin Trans-Purple,6507866
P,52,Trans-Bright Green,6134621
P,52,Trans-Bright Green,6170292
P,52,Trans-Bright Green,6507862
P,52,Trans-Dark Blue,4541538
P,52,Trans-Dark Blue,6236962
P,52,Trans-Dark Blue,6507864
P,52,Trans-Dark Pink,6099532
P,52,Trans-Dark Pink,6170289
P,52,Trans-Green,4541539
P,52,Trans-Green,4655335
P,52,Trans-Light Blue,4155514
P,52,Trans-Light Blue,4247131
P,52,Trans-Light Blue,6296003
P,52,Trans-Light Blue,6507865
P,52,Trans-Medium Blue,4243703
P,52,Trans-Medium Blue,6254245
P,52,Trans-Neon Green,4124010
P,52,Trans-Neon Green,4540417
P,52,Trans-Neon Green,6170290
P,52,Trans-Orange,4541536
P,52,Trans-Orange,6097583
P,52,Trans-Red,4541537
P,52,Trans-Red,6236961
P,52,Trans-Red,6507863
P,52,White,6591340
P,52,Yellow,6074928
P,52,Yellow,6176584
P,52,Yellow,6194508
P,52,Yellow,6589629
P,59,Chrome Gold,4180727
P,59,Chrome Gold,4509211
P,59,Chrome Silver,4649842
P,59,Chrome Silver,71014
P,60c01,Light Gray,4116923
P,60c01,White,4107539
P,60c01,White,4270486
P,60c01,White,4535052
P,60c01,White,4540381
P,60c01,White,6025005
P,60c01,White,6036892
P,60c01,White,6198486
P,67c01,Blue,4107073
P,67c01,White,4529226
P,69c01,White,4171368
P,69c03,White,4287429
P,75c03,Dark Gray,4118604
P,75c03,Light Bluish Gray,4502039
P,75c03,Red,4155926
P,75c03,Reddish Brown,6030330
P,75c03,Yellow,4116944
P,75c04,Black,4172057
P,75c04,Black,4509097
P,75c04,Black,6145214
P,75c04,Blue,4143798
P,75c04,Dark Gray,4118605
P,75c04,Pearl Light Gray,4177946
P,75c04,Red,4143785
P,75c04,White,4119018
P,75c05,Black,6432743
P,75c05,Blue,4201605
P,75c05,Dark Bluish Gray,4251457
P,75c05,Dark Gray,4119069
P,75c05,Dark Gray,4189401
P,75c05,Orange,6551719
P,75c05,Red,4201592
P,75c05,Yellow,4206848
P,75c06,Black,4118741
P,75c06,Black,4270745
P,75c06,Black,4495367
P,75c06,Black,4505063
P,75c06,Black,4546459
P,75c06,Black,4640742
P,75c06,Bright Green,6451143
P,75c06,Copper,4226277
P,75c06,Copper,4268282
P,75c06,Copper,4285897
P,75c06,Dark Gray,4188673
P,75c06,Light Bluish Gray,4225757
P,75c07,Black,4143801
P,75c07,Black,6039885
P,75c07,Black,6429334
P,75c07,Blue,4508619
P,75c07,Dark Bluish Gray,4227377
P,75c07,Dark Bluish Gray,6152428
P,75c07,Light Bluish Gray,6605640
P,75c07,Light Gray,4141251
P,75c07,Orange,6311175
P,75c07,Orange,6440441
P,75c07,Red,4287970
P,75c07,Red,6535158
P,75c07,Reddish Brown,6214342
P,75c07,White,6536993
P,75c08,Black,4291596
P,75c08,Black,4612563
P,75c08,Black,6193640
P,75c08,Black,6409712
P,75c08,Copper,4226270
P,75c08,Copper,4268280
P,75c08,Copper,4285896
P,75c08,Dark Blue,4164184
P,75c08,Dark Gray,4125354
P,75c08,Dark Red,6256143
P,75c08,Light Bluish Gray,4514192
P,75c08,Orange,6143945
P,75c08,Red,4119026
P,75c08,Red,6456646
P,75c08,Yellow,4116945
P,75c08,Yellow,6623851
P,75c09,Black,4143799
P,75c09,Black,4614226
P,75c09,Black,6409912
P,75c09,Bright Light Orange,6282188
P,75c09,Bright Light Orange,6374800
P,75c09,Green,4119412
P,75c09,Green,4218531
P,75c09,Light Bluish Gray,6153796
P,75c09,Light Gray,4141258
P,75c09,Light Gray,4224200
P,75c09,Orange,6551718
P,75c09,Pearl Light Gray,4177947
P,75c09,White,4226958
P,75c09,White,6392958
P,75c09,White,6523917
P,75c10,Black,4116941
P,75c10,Black,4505034
P,75c10,Bright Green,6439698
P,75c10,Dark Gray,4173690
P,75c10,Flat Silver,6559058
P,75c10,Light Bluish Gray,4293768
P,75c10,Light Bluish Gray,6361430
P,75c10,Pearl Gold,4143803
P,75c10,Pearl Gold,6435762
P,75c10,Pearl Light Gray,4165925
P,75c10,Red,6024725
P,75c10,Tan,4129567
P,75c10,White,4143800
P,75c10,White,6556977
P,75c10,Yellow,4124079
P,75c10,Yellow,4550260
P,75c10,Yellow,4551629
P,75c11,Black,4526794
P,75c11,Black,4542709
P,75c11,Black,6112605
P,75c11,Black,6530051
P,75c11,Blue,4116881
P,75c11,Dark Gray,4118610
P,75c11,Dark Gray,4191849
P,75c11,Light Bluish Gray,6191989
P,75c11,Light Bluish Gray,6411673
P,75c11,Orange,6474844
P,75c11,Pearl Gold,6614996
P,75c11,Pearl Light Gray,4172062
P,75c11,Red,4191536
P,75c11,Reddish Brown,6433594
P,75c11,Tan,4141259
P,75c11,Yellow,4116946
P,75c11,Yellow,4161124
P,75c11,Yellow,6623861
P,75c12,Black,4296268
P,75c12,Black,6132327
P,75c12,Black,6434164
P,75c12,Dark Bluish Gray,6400767
P,75c12,Dark Bluish Gray,6411942
P,75c12,Dark Gray,4118611
P,75c12,Dark Gray,4186483
P,75c12,Flat Silver,6024370
P,75c12,Light Bluish Gray,4514197
P,75c12,Pearl Gold,6267914
P,75c12,Pearl Light Gray,4172061
P,75c12,Red,6024918
P,75c12,Reddish Brown,6508632
P,75c12,White,4118742
P,75c12,Yellow,4195781
P,75c13,Black,4164465
P,75c13,Black,4630754
P,75c13,Black,6148175
P,75c13,Black,6434172
P,75c13,Blue,4116882
P,75c13,Dark Gray,4118612
P,75c13,Green,4119030
P,75c13,Light Bluish Gray,6308256
P,75c13,Light Bluish Gray,6436100
P,75c13,Pearl Dark Gray,4174426
P,75c13,Pearl Light Gray,4172058
P,75c13,Reddish Brown,6540829
P,75c13,White,6618711
P,75c14,Black,4288480
P,75c14,Black,6113961
P,75c14,Black,6434156
P,75c14,Dark Bluish Gray,4226279
P,75c14,Dark Bluish Gray,4268285
P,75c14,Dark Bluish Gray,4285898
P,75c14,Dark Red,6256144
P,75c14,Light Bluish Gray,4293764
P,75c14,Light Bluish Gray,6171888
P,75c14,Red,6598302
P,75c14,Reddish Brown,6170953
P,75c14,Reddish Brown,6436081
P,75c15,Black,4164463
P,75c15,Black,4291616
P,75c15,Black,4295432
P,75c15,Black,4505062
P,75c15,Black,4579277
P,75c15,Blue,4116883
P,75c15,Yellow,4116947
P,75c16,Black,4159503
P,75c16,Black,4239070
P,75c16,Black,4599074
P,75c16,Black,6138956
P,75c16,Black,6293848
P,75c16,Dark Gray,4194678
P,75c16,Light Bluish Gray,6112684
P,75c16,Light Bluish Gray,6409852
P,75c16,Pearl Dark Gray,4544012
P,75c16,Pearl Gold,6173281
P,75c16,Pearl Gold,6436101
P,75c16,Purple,4119027
P,75c16,Reddish Brown,6047159
P,75c16,Tan,4285901
P,75c16,Tan,4291898
P,75c16,Tan,4292090
P,75c16,Tan,4292186
P,75c16,Tan,6575084
P,75c16,White,4119019
P,75c16,Yellow,4116948
